Categoria,Informação / Dado Extraído,Contexto / Dado Temporal,Fonte,Ano
Estatística Quantitativa,"Até 2030, estima-se que atividades correspondentes a até 30% das horas atualmente trabalhadas poderão ser automatizadas, impulsionadas pela adoção da Inteligência Artificial generativa.",Projeção até 2030,McKinsey Global Institute,2024
Estatística Quantitativa,"No setor financeiro, a adoção de infraestrutura cloud-native e processamento de dados massivos permitiu que o Nubank reduzisse suas despesas operacionais por cliente em pelo menos 85% quando comparado aos bancos tradicionais",Contexto: Nubank (infraestrutura cloud-native e dados massivos),IFG,2025
Estatística Quantitativa,"Entre 2022 e 2030, prevê-se um crescimento na demanda de trabalho na ordem de 17% a 30% para áreas específicas de alta qualificação, como profissionais de saúde e campos STEM","Ciência, Tecnologia, Engenharia e Matemática",McKinsey Global Institute,2024
Estatística Quantitativa,Trabalhadores em ocupações de salários abaixo da média e aqueles sem diploma universitário apresentam maior probabilidade de precisar realizar transições ocupacionais até 2030 devido à automação. ,Projeção até 2030,McKinsey Global Institute,2023
,,,,
Lista de Profissões,"Top Ocupações em Risco: Trabalhadores de suporte de escritório (assistentes administrativos e secretárias), trabalhadores de serviços de alimentação, atendimento ao cliente, vendas no varejo e operadores de linha de produção",Funções mais impactadas pela automação,McKinsey Global Institute,2024
Lista de Profissões,"Top Funções Emergentes: Profissionais da saúde (enfermeiros, técnicos de saúde), especialistas na área STEM (engenheiros de software e computação), profissionais do direito e negócios, e operários de infraestrutura/construção",Funções com maior projeção de demanda,McKinsey Global Institute,2024
,,,,
Habilidades,Habilidades com alta demanda para adaptação profissional incluirão as competências socioemocionais (como raciocínio interpessoal para gestores e terapeutas) e físicas com alta precisão e coordenação (que são difíceis de serem replicadas por máquinas),Atividades de difícil replicação por máquinas,McKinsey Global Institute,2023
Habilidades,"Para o avanço e transição para empregos de maiores salários, será necessário o treinamento focado em habilidades cognitivas superiores (como resolução de ambiguidades), habilidades tecnológicas de alto nível e capacidades analíticas.",Requisito para acessar maiores salários,McKinsey Global Institute,2023
Habilidades,"No setor de tecnologia, as habilidades ""à prova de futuro"" exigirão a compreensão dos princípios computacionais e estatísticos para resolver problemas baseados nos códigos gerados por IA, não bastando apenas codificar fórmulas padronizadas. ",Necessidade para atuar com códigos gerados por IA,McKinsey Global Institute,2023
,,,,
Contexto Brasileiro,"Inclusão e Disrupção Financeira (Nubank): O banco digital Nubank utilizou a TI estrategicamente (implementando ferramentas de Big Data como Apache Spark) para operar sem agências, oferecendo serviços sem tarifas que geraram uma economia de quase US$ 4,8 bilhões aos clientes e provendo acesso à primeira conta bancária para mais de 5,1 milhões de pessoas no Brasil",Caso corporativo de TI e bancarização nacional,IFG,2025
Contexto Brasileiro,"Agricultura de Precisão (Fazendas Inteligentes): O IFRJ desenvolveu um sistema com Inteligência Artificial Generativa e algoritmos em Python utilizando os bancos de dados da Embrapa para projetar a previsibilidade de produção de café no Sul Fluminense, alcançando 100% de precisão nos cálculos de custos de implantação agrícola e cálculo da pegada de carbono",Caso prático de IA no agronegócio nacional,IFRJ,2023
Contexto Brasileiro,"Mercado de Capitais (B3): O uso de algoritmos de Machine Learning (como Support Vector Machine - SVM e K-Nearest Neighbors - KNN) aplicados a bases históricas da B3 vem sendo usado para auxiliar na predição das direções do preço de ações, ajudando os investidores brasileiros a controlar o viés emocional nas decisões do mercado financeiro",Caso prático no mercado financeiro nacional,Unoeste,2022
Contexto Brasileiro,"Desafio Macroeconômico Nacional: O uso de IA nas empresas brasileiras amplia os ganhos de produtividade; todavia, levanta uma preocupação emergente em relação à substituição de tarefas operacionais, mudança radical do perfil exigido das ocupações, e o impacto das desigualdades, demandando que o Estado desenhe políticas para reinserir os trabalhadores.",Reflexão estratégica governamental,FGV IBRE,2026
,,,,
Citação de Impacto,"""Para capturar os benefícios totais de produtividade da IA generativa e de outras tecnologias, a Europa e os Estados Unidos precisarão focar tanto na melhoria do capital humano quanto na aceleração da adoção de tecnologia.""",Insight estratégico para o nível tático/estratégico,McKinsey Global Institute,2024
Citação de Impacto,"""A tecnologia está conduzindo um processo acelerado de democratização financeira [...] porque permite processos operacionais mais eficientes [e] um gerenciamento mais eficiente de uma abundância de dados do cliente.""",Insight sobre eficiência operacional,PUC Minas,2023
Citação de Impacto,"""Há certo entusiasmo com a inteligência artificial e seus possíveis impactos sobre o crescimento da produtividade. Há, também, certa ansiedade e preocupação com os possíveis impactos sobre o emprego e a desigualdade.""",Reflexão sobre o duplo impacto da IA no Brasil,FGV IBRE,2026
